date,ABI.BR,AD.AS,ADS.DE,ADYEN.AS,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CS.PA,DB1.DE,DG.PA,DHL.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,IBE.MC,IFX.DE,INGA.AS,ISP.MI,ITX.MC,KER.PA,MBG.DE,MUV2.DE,NDA-FI.HE,NOKIA.HE,OR.PA,PRX.AS,RACE.MI,RI.PA,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,STLAM.MI,SU.PA,TTE.PA,UCG.MI,VOW3.DE,^STOXX50E
2025-01-16,43.9039,31.2139,235.7618,1488.0000,138.3793,150.9547,278.2412,734.7104,40.1803,20.5818,9.4470,68.3170,60.5463,54.8984,31.4159,221.9773,94.2552,31.7446,28.5219,230.9571,6.3393,12.5621,12.5071,32.8744,14.3047,3.6999,46.5414,228.4303,47.4363,459.5022,9.4704,4.1509,326.4549,34.2980,412.1573,95.3128,2429.7305,219.0404,4.5864,88.7867,248.5470,80.7726,186.7284,11.2067,246.0128,52.7681,38.8024,81.7394,5106.9302
2025-01-17,45.0923,31.7374,235.0810,1494.6000,141.1944,154.3925,280.2574,728.5007,40.4534,20.9837,9.4516,69.0876,61.0723,54.9249,31.6666,223.1400,95.7010,31.7446,28.5219,234.7070,6.3857,12.6954,12.5354,33.4398,14.2312,3.7410,46.8927,233.8749,47.3761,464.3002,9.5470,4.2100,330.8379,34.9758,416.2778,98.0517,2439.5276,222.3651,4.6027,89.0679,250.3011,82.1773,192.1726,11.5207,250.4620,52.8508,39.3069,82.1615,5148.2998
2025-01-20,45.5174,32.0459,236.6372,1490.0000,141.6491,156.9276,280.5324,737.2733,41.4047,21.1177,9.5339,71.0231,61.4668,55.5515,31.6487,222.4617,96.0741,31.7446,28.4560,235.6685,6.2477,12.5153,12.4741,33.5677,14.3692,3.7622,46.4844,238.5485,48.4769,464.3002,9.5683,4.2544,328.2851,35.0555,413.9232,98.2343,2447.3655,221.6806,4.6943,89.6666,249.4728,83.1454,193.0816,11.7942,252.0096,52.5749,39.9132,83.5511,5164.4399
2025-01-21,45.0054,32.1394,236.7344,1491.4000,140.6349,156.8124,279.0660,721.8970,41.5185,21.2765,9.5476,69.7507,61.4480,55.6927,31.5681,224.5933,95.9808,31.7446,28.5407,240.3800,6.2495,12.3657,12.5637,33.8676,14.3477,3.7568,46.0381,239.8013,48.2017,462.8239,9.7172,4.2453,328.6705,34.8213,412.0591,97.3670,2510.0686,222.5607,4.5931,89.8208,250.2037,83.4492,195.3300,11.6143,254.2342,52.0875,39.6401,82.9003,5165.9600
2025-01-22,44.5223,31.7187,251.0319,1506.6000,141.9813,158.5793,280.8990,737.3717,41.2181,20.8249,9.4698,70.0912,61.2038,54.9867,31.9890,227.5969,95.9342,31.9180,28.1831,243.7453,6.1529,12.3207,12.4364,33.7348,14.1201,3.6990,46.2185,236.0912,48.3737,482.0159,9.7087,4.2601,336.8102,34.8512,409.0177,96.3171,2563.9534,227.9389,4.5437,89.6666,255.6121,83.8858,198.2004,11.6584,260.9564,51.8484,39.2930,82.5309,5205.8301
2025-01-23,44.5416,31.7748,251.8100,1516.0000,141.3868,160.0389,284.8398,705.0421,41.6049,20.9142,9.7259,69.3385,61.0911,55.9309,32.3472,227.5000,96.9602,32.2556,28.2302,244.7068,6.1345,12.2468,12.4364,33.6168,14.4069,3.7717,46.2470,238.2112,48.0039,481.6469,9.8747,4.3026,341.5302,34.7864,401.4633,96.5453,2585.5073,232.6326,4.6550,90.6100,255.7096,85.1386,199.9705,11.6235,262.7941,51.6277,40.2880,83.9029,5217.5000
2025-01-24,45.0440,31.2606,247.5305,1520.4000,143.1703,160.4038,283.0985,690.6515,42.7838,20.7356,9.8036,70.6468,60.9972,56.1339,32.1502,227.5969,95.4678,32.2556,27.6185,246.2452,6.1465,12.0792,12.3987,33.4546,14.3567,3.7861,46.4464,248.9076,48.8380,482.3850,9.8619,4.1347,345.2870,35.3396,403.2293,100.8819,2608.0413,231.2636,4.6823,90.8549,256.8303,85.2715,199.4443,11.7447,261.7785,51.3518,40.5009,84.9935,5219.3701
2025-01-27,45.8846,31.6346,248.1140,1503.6000,145.0762,159.2515,286.8561,642.2556,42.6973,21.2814,9.8631,72.6181,62.3685,56.6810,32.5532,230.4068,96.4938,32.7027,28.0514,247.6875,6.2182,12.0810,12.5966,32.8252,14.3280,3.7698,46.1520,253.0031,49.5518,489.9511,9.8960,4.1418,349.8144,35.2698,400.7766,101.4753,2608.0413,229.8946,4.7010,91.9253,254.7351,84.1705,192.6988,11.9173,236.9693,51.2139,40.5842,86.1720,5188.4502
2025-01-28,45.8363,31.9991,246.6551,1552.8000,145.7407,160.1733,288.6890,637.3272,42.9840,21.3310,10.0048,70.6109,63.3454,56.9899,32.8398,231.0850,97.4732,32.9673,28.9548,249.5144,6.2468,12.1008,12.7569,32.5056,14.3334,3.7861,47.5765,250.8349,50.2570,488.8438,9.8747,4.0813,354.1010,35.7483,402.5425,101.9774,2608.0413,232.8282,4.7125,92.2700,255.9045,84.9868,191.4072,11.7777,219.2691,51.2691,40.9823,86.0313,5195.7100
2025-01-29,45.5947,31.9898,249.4757,1516.0000,146.3352,160.0005,287.9558,672.7126,42.6427,21.3757,10.1192,71.0590,62.8758,57.0693,32.6697,230.4068,96.1674,32.6388,30.3004,253.1682,6.2284,12.1171,12.7616,31.9697,14.4624,3.8367,48.8869,237.2958,50.5150,487.7366,9.8577,4.1051,343.2641,36.3414,404.5047,99.3755,2626.6560,232.4371,4.8017,92.3969,260.3872,84.7780,194.5646,11.8144,229.6668,51.3151,41.5191,85.7674,5230.6602
2025-01-30,46.2228,32.1394,252.3935,1563.0000,147.8739,159.7124,289.2389,696.5654,43.0159,21.6932,10.2563,71.5787,63.7587,57.9430,32.8577,233.2166,97.4732,31.9910,30.3851,254.8989,6.3167,12.2846,12.8747,30.9125,14.4732,3.8073,50.0835,246.6431,51.0224,485.8912,9.9471,4.3817,350.1997,36.5357,404.8972,100.4254,2647.2305,233.1216,4.8209,93.9934,261.2155,85.9739,196.2868,11.9613,233.1004,51.6461,41.4867,86.0313,5282.2100
