ticker,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,currentRatio,debtToEquity,earningsGrowth,salesGrowth,marketCap,trailingPE,priceToBook,priceToSalesTrailing12Months,enterpriseValue,enterpriseToEbitda,dividendYield,forwardPE,beta,sector
ABI.BR,0.07483671408668532,0.028334712563577676,0.09796212019809931,0.25545442377191807,0.5525364743675546,0.6955482973447046,92.24535705612435,0.0962366598015354,0.006534186594812974,99712144200.0,17.048424657534245,1.2744883392768127,1.6683199069736314,160807144200.0,7.943447154712508,0.02679713711341492,,,Consumer Defensive
AD.AS,0.11414520512488677,0.034026465028355386,0.01974103875465828,0.02632138500621104,0.26640330360240383,0.8350195447229248,131.45463957551442,-0.05869797225186768,0.007020984064732838,31247662800.0,17.72042328042328,2.0219789569043614,0.34969462716966776,45405662800.0,7.0048847269361305,0.033186482030265634,,,Consumer Defensive
ADS.DE,0.13951789627465302,0.03698862260953764,0.032259426592914746,0.05451167504116877,0.5077481737955496,1.2409048264359428,102.02702702702702,-11.186666666666667,0.10528772109954732,31908651927.652496,41.75151869158878,5.826999986788258,1.3473230556792846,35365651927.6525,14.073080751154993,0.00391743281049342,,,Consumer Cyclical
ADYEN.AS,0.21863588626698088,0.08097509041135888,0.41569131214445,0.3920343314008216,0.8931407741100045,1.551525949324971,5.394179496559632,0.3248372527286838,0.1943725629304618,43475694759.799995,46.99560662385941,10.2742403823776,19.53436162178216,33972077759.799995,25.017491849597878,,,,Technology
AI.PA,0.12308637379002234,0.0637412637971755,0.12218657836187717,0.1906067751258417,0.6301177479322044,0.880146771965711,46.141474311243485,0.07410656270305394,-0.01991480606789431,100111124068.8276,30.280730769230768,3.727145348802219,3.6998988856753914,110589424068.8276,15.5514433666368,0.017161928966243408,,,Basic Materials
AIR.PA,0.21585229011527082,0.03275212246445791,0.061129568106312294,0.06939188213202369,0.15419615773508594,1.1453078864457384,57.50790574313985,0.1169173924518343,0.05781865965834432,145868641987.26248,34.4696261682243,7.4400001013599155,2.1070149066483097,142140641987.26248,15.487104160738994,0.01518489491520335,,,Industrials
ALV.DE,0.1647287143165193,0.009507188548868539,0.07096257869050426,,,,57.788577968716304,0.16274440931975187,0.1694702800270751,131023937993.025,13.390933280381255,2.1733365069256223,0.93623970498135,134225937993.025,,0.04389274271626725,,,Financial Services
ASML.AS,0.4097895739521995,0.1558275845036798,0.2678989063401137,0.31923829472559434,0.512757006535069,1.532930368951794,25.370193972982335,-0.03411149381298639,0.02556017199775029,264579888000.00003,34.937889812889814,14.3195730862487,9.36138499587799,256531588000.00003,25.33995693231657,0.009270923873094994,,,Technology
BAS.DE,0.03646169836231355,0.016141267176521795,0.02112527057598099,0.04833748352131244,0.24769298374102827,1.832971418510476,67.40357875221214,4.768888888888889,-0.10825520304200165,37914640941.1,29.216620689655173,1.0650479210399169,0.6170701453558582,58995640941.1,7.819170436196156,0.08661561651346401,,,Basic Materials
BAYN.DE,-0.07997994233421085,-0.023022101939557962,-0.054756898253443764,0.07138565849890573,0.5436209930051925,1.1896932854379663,127.5448163469976,-0.1322679360761646,-0.02164284064907529,27674083706.0,-10.834346153846154,0.8673086281183403,0.5937880038192508,62180083706.0,7.060302453275804,0.0047336707293256465,,,Healthcare
BBVA.MC,0.18065188486002803,0.013016538020357274,0.25625079648273225,,,,136.4322420670572,0.25377229080932784,0.17375175756125283,86480194500.0,8.922916666666667,1.5538900079059907,2.2041594112399645,102529194500.0,,0.04524735429451422,,,Financial Services
BMW.DE,0.07896874830742566,0.027228721258572005,0.05120101137800253,0.08002528445006321,0.16080207894367188,1.0991914607305364,92.6220007582733,-0.354295837023915,-0.08436121364905014,52148473241.6909,7.153726333907057,0.5648970724334171,0.3662626298756209,118365473241.69092,5.861417908373324,0.07250451959497102,,,Consumer Cyclical
BN.PA,0.11357122787299803,0.044621566722600016,0.07382378725891292,0.1266072472238457,0.49704120397428403,0.9311098164870376,79.74711997752178,1.293984108967083,-0.008798291031536287,46528977281.342995,23.06741214057508,2.6147219601766225,1.6996265809958722,59244977281.342995,12.428147111672539,0.028971193410273294,,,Consumer Defensive
BNP.PA,0.09121487158275908,0.004321034208926884,0.17744041293456808,,,,296.47564715890024,0.06496583143507983,0.10270360760023434,81633355398.00981,7.526792058516197,0.6370787157340175,1.2393100865038684,153482355398.00983,,,,,Financial Services
CS.PA,0.1579000060068478,0.012062493690364384,0.07636884817260949,,,,125.04254850529604,0.09695367923216014,0.05724319398798006,81603261621.422,10.347865761651844,1.6339279102461204,0.7902545139685654,125065261621.422,,0.05459340609040681,,,Financial Services
DB1.DE,0.18085600222820536,0.008770350093646448,0.277374341449523,0.4060942617115193,0.5832265413640895,1.0177593470918178,88.97038343700677,0.12993039443155463,0.15204803070815776,44796828578.9412,22.98320415879017,4.159022242961767,6.378588719769501,51977828578.9412,15.180440589644043,0.015581460164528854,,,Financial Services
DG.PA,0.16238688349417305,0.03755473353360465,0.06682882585751979,0.11788148636763413,0.5818903913808268,0.8527792415459815,121.08391491635221,0.03424074861760951,0.041253487872934036,65129818602.2848,13.392930011862397,2.174836163965833,0.895033786860774,86191818602.28479,6.742163532719398,0.03945965235514785,,,Industrials
DHL.DE,0.1400411885848779,0.04768515205724508,0.0395780871383095,0.06328692925357533,0.1562574238608828,0.951631949364697,94.32185937040306,-0.09333333333333338,0.029721862080774875,44423508528.273,13.30896797153025,1.867083113868491,0.5276703155826603,64723508528.273,5.986266049599797,0.048825499647772226,,,Industrials
DTE.DE,0.17708859959555107,0.03675877402979005,0.09737557661735195,0.21030136129475027,0.6113229839024941,1.0562503552953215,229.3130687563195,-0.3698560827524173,0.03416645703812837,145639890600.0,12.992819383259912,2.300933559782609,1.2652126260739633,282629890600.0,5.27097893696382,0.0383960738844444,,,Communication Services
EL.PA,0.05842579750346741,0.03669938860280963,0.08899200241436547,0.1300362154821186,0.6339595593783008,1.1063759497852659,32.73231622746186,0.030581039755351647,0.04382752510336685,117740672254.957,49.89296296296296,2.916105415468521,4.441703344460427,128705672254.957,19.52156412178932,0.009877640221737706,,,Healthcare
ENEL.MI,0.20799857697666835,0.03749084904803381,0.09930784582938187,0.15359028436354372,0.541111693017594,0.8288398610804408,208.56778630932968,1.0407213496218732,-0.1436381047042995,77763459104.1451,11.083731343283581,2.305400346984824,1.100701483448387,140064459104.14508,6.361650502073174,0.06591784957938894,,,Utilities
ENI.MI,0.04971109216633513,0.017857750495103412,0.029550547878869782,0.07492370237733256,0.11355113348423933,1.1376787237893322,69.79823813583404,-0.45001047998323207,-0.0524984794647716,44329810080.0,17.593205128205128,0.8398183211139529,0.4992264387310382,73043810080.0,3.1663188729463783,0.06920850764899104,,,Energy
IBE.MC,0.11908753315649867,0.03545324177316748,0.13054805992369964,0.2249930213082721,0.5399413789894855,0.6912969906101729,122.50610079575597,0.16843639392046628,-0.12865105908584173,100757893261.6475,23.552018633540374,2.1380985307511406,2.343860920760387,154406893261.64752,10.163697555400706,0.011572294360821321,,,Utilities
IFX.DE,0.07555607178117196,0.0454275638115856,0.08699431628217988,0.17158141089936477,0.4175860916081578,1.9030314807617568,30.013357337824498,-0.5852725533949634,-0.08302164449077198,41538280500.0,32.81453608247423,2.412351501248621,2.7775513540621866,44900280500.0,10.74169389952153,0.010977825622801116,,,Technology
INGA.AS,0.12704470017689265,0.006263320088776095,0.28340870798971357,,,,340.5223302128674,-0.12282146287909979,-0.005292405398253486,64283094130.0,10.055505050505051,1.2776637077892394,2.850185959475038,165257094130.0,,0.060342459436620775,,,Financial Services
ISP.MI,0.1329630538848656,0.009285480855258576,0.31301018565339883,,,,224.88032404566098,0.12195753495598138,0.08931381806735916,88900874039.86581,10.258587972223078,1.3640124284992299,3.211040744053522,185450874039.8658,,0.0655786578362059,,,Financial Services
ITX.MC,0.29812970115877213,0.16898081465691075,0.15184303168357838,0.19861772623731622,0.5783547318285359,1.605575733778345,30.031510469607642,0.09013194573499339,0.07469329846718775,129193582363.9314,22.024136097820307,6.566049113840791,3.344211595670206,128720582363.9314,11.759600069790919,0.037130327313682716,,,Consumer Cyclical
KER.PA,0.0760198604401503,0.02613851335763392,0.06714471968709257,0.1446011615503141,0.7345027853502429,1.2196851214680429,135.14492753623188,-0.62018102581294,-0.1375856076868036,28865138626.6985,25.466287878787877,1.9367376963700014,1.7106281039882958,45489138626.6985,10.578869448069419,0.05944887437376809,,,Consumer Cyclical
MBG.DE,0.1101970310391363,0.03851552771593525,0.07010591095786914,0.0844883717735621,0.19627182438836765,1.3600486461924999,100.4502024291498,-0.28427179019704085,-0.044596102106437385,49153911600.0,4.814111874386653,0.5306765085020243,0.3376094591810102,127684911600.0,5.937452294815159,0.1116086150913776,,,Consumer Cyclical
MUV2.DE,0.17391834619020033,0.0199132808736149,0.08853843288215572,,,,19.273104247339695,0.23838471558836294,0.08246521943679008,67397394653.6974,11.81414628464943,2.0549865735798214,1.046153524365103,64447394653.6974,,0.02976376179386856,,,Financial Services
